M_X,alpha,mean,rms
310,0.024,304.1344590172438,6.574125984735253
310,0.007,305.3575870848087,6.2420600217703655
290,0.01,285.60313561870566,5.682768165453939
360,0.019,353.79672584036155,7.998801267477469
360,0.02,353.66810446994856,8.041270390547202
350,0.027,343.03778311705236,8.104290355317538
350,0.02,343.7881833317822,7.757773693639249
360,0.014,354.1170496944964,7.480444702738786
350,0.024,343.33636161762354,7.89537435858604
360,0.018000000000000002,353.79672573859546,7.998801316920462
360,0.011,354.1170497730949,7.480444694481843
350,0.017,343.92628765703427,7.802643548316871
360,0.007,354.5572297041024,7.3012524294095265
360,0.005,354.6124193832063,7.203398927832622
360,0.020999999999999998,353.207970174181,7.9955714666165925
360,0.025,353.2519565426244,7.908346947484545
360,0.024,353.207970160507,7.995571496712061
360,0.022,353.2079702103955,7.995571458002547
360,0.023,353.2079701055902,7.995571572433941
360,0.026,353.0588057182058,8.250427346028482
360,0.027000000000000003,353.058805753519,8.25042741369932
360,0.028999999999999998,353.058805712622,8.250427332413004
360,0.028,353.05880563953906,8.250427400232882
370,0.006,364.43206692394307,7.522761944052876
370,0.006999999999999999,364.4320669586082,7.522762008570407
370,0.012,364.00237051864286,7.684664585096107
370,0.009000000000000001,364.4320669645946,7.522761956179533
370,0.013,364.0023704723831,7.684664541370285
370,0.005,364.5904716143564,7.243294955809355
370,0.008,364.4320669892351,7.522761947710797
370,0.016,363.7562879071589,8.367812612744231
370,0.011000000000000001,364.00237045860564,7.684664580818396
370,0.01,364.4413845367095,7.514576020178058
370,0.017,363.7562879935122,8.367812602734348
370,0.025,363.1777779229459,8.145897585639082
370,0.026,362.79493328143116,8.541482202126176
370,0.019,363.75628802108525,8.36781255842027
370,0.015,364.0864167021307,7.626539694776526
370,0.018000000000000002,363.75628793858704,8.367812546859168
370,0.020999999999999998,362.96718377233515,8.361220963778626
370,0.013999999999999999,364.0023705435303,7.6846645085707115
370,0.027999999999999997,362.7949333617889,8.541482211266395
370,0.03,362.833226091965,8.540884913448489
380,0.005,374.41812842426134,7.535970007478223
370,0.02,363.746160646742,8.141150503495174
370,0.023,362.96718380396874,8.361221049310856
370,0.024,362.9671837513491,8.361221008665426
370,0.027,362.79493329965584,8.541482246600628
370,0.022000000000000002,362.96718392759414,8.361220941012382
380,0.007,374.27532970775604,7.7967115786094
380,0.008,374.27532970529995,7.796711592321965
380,0.01,374.2494760357132,7.693816576367115
380,0.011,373.8874703974268,7.8151258069022544
380,0.013000000000000001,373.8874703082119,7.815125866520389
370,0.029,362.7949333647122,8.541482153818452
380,0.005999999999999999,374.2753297715167,7.79671152940878
380,0.016,373.61323949227153,8.5752931616326
380,0.009,374.2753296843742,7.796711624902141
380,0.019,373.6132394165308,8.575293144228596
380,0.014,373.88747031448395,7.815125825663961
380,0.02,373.5869322699521,8.474950602788141
380,0.011999999999999999,373.8874702681993,7.815125879588041
380,0.022,372.8051557259732,8.69017450010699
380,0.021,372.80515571237726,8.69017455332842
380,0.023999999999999997,372.80515578989997,8.690174512905385
380,0.027,372.5828002504771,9.037042017830647
380,0.028,372.5828001902012,9.03704212021047
380,0.028999999999999998,372.58280025754715,9.037042055021027
380,0.015000000000000001,373.61323948675823,8.575293131043228
380,0.023,372.8051558008412,8.690174559783715
380,0.018,373.61323953389007,8.575293208254832
380,0.017,373.61323945738536,8.575293154281376
390,0.005,384.22947998326646,7.821713155501778
390,0.005999999999999999,384.1001014307715,7.897171330976338
390,0.008,384.100101511866,7.8971713178307
390,0.007,384.10010138214005,7.8971713875722385
390,0.009,384.1001013722393,7.897171388060547
380,0.026000000000000002,372.5828001487556,9.037042182034485
380,0.025,372.807636754847,8.728180238788404
390,0.014,383.7224926302535,8.123512764285325
390,0.011,383.722492617462,8.123512785883424
390,0.011999999999999999,383.7224926074161,8.123512740609279
390,0.017,383.5571764210313,8.768271486349889
390,0.013000000000000001,383.7224926344328,8.123512784796086
390,0.015,383.7125390833408,8.058069031428717
390,0.019,383.55717639283125,8.768271595801199
390,0.01,384.1584539521838,7.776115299839262
390,0.018,383.557176400051,8.768271659901993
390,0.022,382.3530547544583,9.183375810054699
390,0.020999999999999998,382.3530546713207,9.183375898194528
390,0.016,383.5571764053942,8.76827167555046
